x,libm_expm1f,q24_8,q8_24,q24_minus_libm,q8_minus_libm,q24_abs_err,q8_abs_err,q24_rel_err,q8_rel_err,q24_minus_q8
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000117e-07,1.0000000827e-07,0.0000000000e+00,1.1920928955e-07,-1.0000000827e-07,1.9209281277e-08,1.0000000827e-07,1.9209281277e-08,1.0000000000e+00,1.9209279120e-01,-1.1920928955e-07
9.9999999748e-07,1.0000004522e-06,0.0000000000e+00,1.0132789612e-06,-1.0000004522e-06,1.3278508959e-08,1.0000004522e-06,1.3278508959e-08,1.0000000000e+00,1.3278502971e-02,-1.0132789612e-06
9.9999997474e-06,1.0000049770e-05,0.0000000000e+00,1.0013580322e-05,-1.0000049770e-05,1.3530552678e-08,1.0000049770e-05,1.3530552678e-08,1.0000000000e+00,1.3530484866e-03,-1.0013580322e-05
9.9999997474e-05,1.0000499606e-04,0.0000000000e+00,1.0001659393e-04,-1.0000499606e-04,1.1597876437e-08,1.0000499606e-04,1.1597876437e-08,1.0000000000e+00,1.1597297271e-04,-1.0001659393e-04
5.0000002375e-04,5.0012505380e-04,0.0000000000e+00,5.0014257431e-04,-5.0012505380e-04,1.7520505935e-08,5.0012505380e-04,1.7520505935e-08,1.0000000000e+00,3.5032251617e-05,-5.0014257431e-04
1.0000000475e-03,1.0005001677e-03,0.0000000000e+00,1.0004639626e-03,-1.0005001677e-03,-3.6205165088e-08,1.0005001677e-03,3.6205165088e-08,1.0000000000e+00,3.6187066144e-05,-1.0004639626e-03
2.0000000950e-03,2.0020015072e-03,3.9062500000e-03,2.0019412041e-03,1.9042484928e-03,-6.0303136706e-08,1.9042484928e-03,6.0303136706e-08,9.5117235184e-01,3.0121424061e-05,1.9043087959e-03
3.0000000261e-03,3.0045046005e-03,3.9062500000e-03,3.0044913292e-03,9.0174539946e-04,-1.3271346688e-08,9.0174539946e-04,1.3271346688e-08,3.0013114214e-01,4.4171497393e-06,9.0175867081e-04
4.0000001900e-03,4.0080109611e-03,3.9062500000e-03,4.0079951286e-03,-1.0176096112e-04,-1.5832483768e-08,1.0176096112e-04,1.5832483768e-08,2.5389391929e-02,3.9502097025e-06,-1.0174512863e-04
4.9999998882e-03,5.0125205889e-03,3.9062500000e-03,5.0124526024e-03,-1.1062705889e-03,-6.7986547947e-08,1.1062705889e-03,6.7986547947e-08,2.2070145607e-01,1.3563345419e-05,-1.1062026024e-03
9.9999997765e-03,1.0050166398e-02,1.1718750000e-02,1.0050058365e-02,1.6685836017e-03,-1.0803341866e-07,1.6685836017e-03,1.0803341866e-07,1.6602547467e-01,1.0749416106e-05,1.6686916351e-03
1.9999999553e-02,2.0201340318e-02,1.9531250000e-02,2.0201265812e-02,-6.7009031773e-04,-7.4505805969e-08,6.7009031773e-04,7.4505805969e-08,3.3170588315e-02,3.6881615415e-06,-6.7001581192e-04
5.0000000745e-02,5.1271095872e-02,5.0781250000e-02,5.1271021366e-02,-4.8984587193e-04,-7.4505805969e-08,4.8984587193e-04,7.4505805969e-08,9.5540359616e-03,1.4531736952e-06,-4.8977136612e-04
1.0000000149e-01,1.0517092049e-01,1.0546875000e-01,1.0517084599e-01,2.9782950878e-04,-7.4505805969e-08,2.9782950878e-04,7.4505805969e-08,2.8318618424e-03,7.0842594369e-07,2.9790401459e-04
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.9999997474e-05,1.0000499606e-04,0.0000000000e+00,1.0001659393e-04,-1.0000499606e-04,1.1597876437e-08,1.0000499606e-04,1.1597876437e-08,1.0000000000e+00,1.1597297271e-04,-1.0001659393e-04
1.9999999495e-04,2.0001998928e-04,0.0000000000e+00,1.9997358322e-04,-2.0001998928e-04,-4.6406057663e-08,2.0001998928e-04,4.6406057663e-08,1.0000000000e+00,2.3200710712e-04,-1.9997358322e-04
3.0000001425e-04,3.0004500877e-04,0.0000000000e+00,2.9999017715e-04,-3.0004500877e-04,-5.4831616580e-08,3.0004500877e-04,5.4831616580e-08,1.0000000000e+00,1.8274463946e-04,-2.9999017715e-04
3.9999998990e-04,4.0007999633e-04,0.0000000000e+00,4.0006637573e-04,-4.0007999633e-04,-1.3620592654e-08,4.0007999633e-04,1.3620592654e-08,1.0000000000e+00,3.4044671338e-05,-4.0006637573e-04
5.0000002375e-04,5.0012505380e-04,0.0000000000e+00,5.0014257431e-04,-5.0012505380e-04,1.7520505935e-08,5.0012505380e-04,1.7520505935e-08,1.0000000000e+00,3.5032251617e-05,-5.0014257431e-04
6.0000002850e-04,6.0018006479e-04,0.0000000000e+00,6.0015916824e-04,-6.0018006479e-04,-2.0896550268e-08,6.0018006479e-04,2.0896550268e-08,1.0000000000e+00,3.4817134292e-05,-6.0015916824e-04
6.9999997504e-04,7.0024502929e-04,0.0000000000e+00,7.0023536682e-04,-7.0024502929e-04,-9.6624717116e-09,7.0024502929e-04,9.6624717116e-09,1.0000000000e+00,1.3798700820e-05,-7.0023536682e-04
7.9999997979e-04,8.0032006372e-04,0.0000000000e+00,8.0031156540e-04,-8.0032006372e-04,-8.4983184934e-09,8.0032006372e-04,8.4983184934e-09,1.0000000000e+00,1.0618649867e-05,-8.0031156540e-04
8.9999998454e-04,9.0040510986e-04,0.0000000000e+00,9.0032815933e-04,-9.0040510986e-04,-7.6950527728e-08,9.0040510986e-04,7.6950527728e-08,1.0000000000e+00,8.5462117568e-05,-9.0032815933e-04
1.0000000475e-03,1.0005001677e-03,0.0000000000e+00,1.0004639626e-03,-1.0005001677e-03,-3.6205165088e-08,1.0005001677e-03,3.6205165088e-08,1.0000000000e+00,3.6187066144e-05,-1.0004639626e-03
1.0999999940e-03,1.1006052373e-03,0.0000000000e+00,1.1005997658e-03,-1.1006052373e-03,-5.4715201259e-09,1.1006052373e-03,5.4715201259e-09,1.0000000000e+00,4.9713739827e-06,-1.1005997658e-03
1.2000000570e-03,1.2007203186e-03,0.0000000000e+00,1.2007355690e-03,-1.2007203186e-03,1.5250407159e-08,1.2007203186e-03,1.5250407159e-08,1.0000000000e+00,1.2701048945e-05,-1.2007355690e-03
1.3000000035e-03,1.3008454116e-03,0.0000000000e+00,1.3008117676e-03,-1.3008454116e-03,-3.3644028008e-08,1.3008454116e-03,3.3644028008e-08,1.0000000000e+00,2.5863202609e-05,-1.3008117676e-03
