method,scope,samples,repeats,calls,total_ns,ns_per_call
libm,kernel,1024,200,204800,1741207,8.501987305
libm,kernel,1024,200,204800,1670304,8.155781250
libm,kernel,1024,200,204800,1664463,8.127260742
direct_t12_trunc,kernel,1024,200,204800,5091964,24.863105469
direct_t12_trunc,kernel,1024,200,204800,5106961,24.936333008
direct_t12_trunc,kernel,1024,200,204800,5090821,24.857524414
direct_t12_rne,kernel,1024,200,204800,5674126,27.705693359
direct_t12_rne,kernel,1024,200,204800,5664338,27.657900391
direct_t12_rne,kernel,1024,200,204800,5704152,27.852304687
direct_t16_rne,kernel,1024,200,204800,8149951,39.794682617
direct_t16_rne,kernel,1024,200,204800,8134963,39.721499023
direct_t16_rne,kernel,1024,200,204800,8140574,39.748896484
direct_t20_rne,kernel,1024,200,204800,10396456,50.763945312
direct_t20_rne,kernel,1024,200,204800,10395224,50.757929688
direct_t20_rne,kernel,1024,200,204800,10399231,50.777495117
adaptive_rne,kernel,1024,200,204800,14360503,70.119643555
adaptive_rne,kernel,1024,200,204800,14319587,69.919858398
adaptive_rne,kernel,1024,200,204800,14334955,69.994897461
divfirst_t12_rne,kernel,1024,200,204800,5746723,28.060170898
divfirst_t12_rne,kernel,1024,200,204800,5751041,28.081254883
divfirst_t12_rne,kernel,1024,200,204800,5753796,28.094707031
rr_ln2_t12,kernel,1024,200,204800,3728065,18.203442383
rr_ln2_t12,kernel,1024,200,204800,3915366,19.117998047
rr_ln2_t12,kernel,1024,200,204800,3735879,18.241596680
rr_ln2_adaptive,kernel,1024,200,204800,3540733,17.288735352
rr_ln2_adaptive,kernel,1024,200,204800,3565259,17.408491211
rr_ln2_adaptive,kernel,1024,200,204800,3498745,17.083715820
halving_t12,kernel,1024,200,204800,5977886,29.188896484
halving_t12,kernel,1024,200,204800,6028741,29.437211914
halving_t12,kernel,1024,200,204800,5971504,29.157734375
halving_adaptive,kernel,1024,200,204800,5877377,28.698129883
halving_adaptive,kernel,1024,200,204800,5814399,28.390620117
halving_adaptive,kernel,1024,200,204800,5841820,28.524511719
fine_ln2_2_t12,kernel,1024,200,204800,3185757,15.555454102
fine_ln2_2_t12,kernel,1024,200,204800,3159628,15.427871094
fine_ln2_2_t12,kernel,1024,200,204800,3178844,15.521699219
fine_ln2_4_t12,kernel,1024,200,204800,2716176,13.262578125
fine_ln2_4_t12,kernel,1024,200,204800,2636046,12.871318359
fine_ln2_4_t12,kernel,1024,200,204800,2603545,12.712622070
fine_ln2_8_t12,kernel,1024,200,204800,2530658,12.356728516
fine_ln2_8_t12,kernel,1024,200,204800,2355319,11.500581055
fine_ln2_8_t12,kernel,1024,200,204800,2390205,11.670922852
libm,e2e,1024,200,204800,1690211,8.252983398
libm,e2e,1024,200,204800,1679271,8.199565430
libm,e2e,1024,200,204800,1713084,8.364667969
direct_t12_trunc,e2e,1024,200,204800,7314092,35.713339844
direct_t12_trunc,e2e,1024,200,204800,7333720,35.809179687
direct_t12_trunc,e2e,1024,200,204800,7296750,35.628662109
direct_t12_rne,e2e,1024,200,204800,7872601,38.440434570
direct_t12_rne,e2e,1024,200,204800,7698654,37.591083984
direct_t12_rne,e2e,1024,200,204800,7822096,38.193828125
direct_t16_rne,e2e,1024,200,204800,10535026,51.440556641
direct_t16_rne,e2e,1024,200,204800,10551908,51.522988281
direct_t16_rne,e2e,1024,200,204800,10505932,51.298496094
direct_t20_rne,e2e,1024,200,204800,12738650,62.200439453
direct_t20_rne,e2e,1024,200,204800,12718503,62.102065430
direct_t20_rne,e2e,1024,200,204800,12698675,62.005249023
adaptive_rne,e2e,1024,200,204800,16516659,80.647749023
adaptive_rne,e2e,1024,200,204800,16473558,80.437294922
adaptive_rne,e2e,1024,200,204800,16489929,80.517231445
divfirst_t12_rne,e2e,1024,200,204800,7928014,38.711005859
divfirst_t12_rne,e2e,1024,200,204800,7934317,38.741782227
divfirst_t12_rne,e2e,1024,200,204800,8071935,39.413745117
rr_ln2_t12,e2e,1024,200,204800,5619904,27.440937500
rr_ln2_t12,e2e,1024,200,204800,5440378,26.564345703
rr_ln2_t12,e2e,1024,200,204800,5545164,27.075996094
rr_ln2_adaptive,e2e,1024,200,204800,5272012,25.742246094
rr_ln2_adaptive,e2e,1024,200,204800,5286498,25.812978516
rr_ln2_adaptive,e2e,1024,200,204800,5274075,25.752319336
halving_t12,e2e,1024,200,204800,7875546,38.454814453
halving_t12,e2e,1024,200,204800,7919629,38.670063477
halving_t12,e2e,1024,200,204800,7891917,38.534750977
halving_adaptive,e2e,1024,200,204800,7829369,38.229340820
halving_adaptive,e2e,1024,200,204800,7841472,38.288437500
halving_adaptive,e2e,1024,200,204800,7805485,38.112719727
fine_ln2_2_t12,e2e,1024,200,204800,4741567,23.152182617
fine_ln2_2_t12,e2e,1024,200,204800,4622362,22.570126953
fine_ln2_2_t12,e2e,1024,200,204800,4568953,22.309340820
fine_ln2_4_t12,e2e,1024,200,204800,4149765,20.262524414
fine_ln2_4_t12,e2e,1024,200,204800,4165926,20.341435547
fine_ln2_4_t12,e2e,1024,200,204800,4123046,20.132060547
fine_ln2_8_t12,e2e,1024,200,204800,3694792,18.040976562
fine_ln2_8_t12,e2e,1024,200,204800,3719779,18.162983398
fine_ln2_8_t12,e2e,1024,200,204800,3678692,17.962363281
