method,scope,event,value,stddev_percent,source
adaptive_rne,kernel,cycles,1835558211.0,0.06,results/perf/kernel_adaptive_rne.csv
adaptive_rne,kernel,instructions,3738727860.0,0.0,results/perf/kernel_adaptive_rne.csv
adaptive_rne,kernel,branches,788606345.0,0.0,results/perf/kernel_adaptive_rne.csv
adaptive_rne,kernel,branch-misses,729480.0,0.4,results/perf/kernel_adaptive_rne.csv
adaptive_rne,kernel,cache-references,743139.0,3.2,results/perf/kernel_adaptive_rne.csv
adaptive_rne,kernel,cache-misses,87862.0,8.76,results/perf/kernel_adaptive_rne.csv
direct_t12_rne,kernel,cycles,752594861.0,0.09,results/perf/kernel_direct_t12_rne.csv
direct_t12_rne,kernel,instructions,2047800533.0,0.0,results/perf/kernel_direct_t12_rne.csv
direct_t12_rne,kernel,branches,429213452.0,0.0,results/perf/kernel_direct_t12_rne.csv
direct_t12_rne,kernel,branch-misses,117204.0,0.4,results/perf/kernel_direct_t12_rne.csv
direct_t12_rne,kernel,cache-references,350297.0,1.94,results/perf/kernel_direct_t12_rne.csv
direct_t12_rne,kernel,cache-misses,50003.0,2.75,results/perf/kernel_direct_t12_rne.csv
direct_t12_trunc,kernel,cycles,678483844.0,0.07,results/perf/kernel_direct_t12_trunc.csv
direct_t12_trunc,kernel,instructions,1912892963.0,0.0,results/perf/kernel_direct_t12_trunc.csv
direct_t12_trunc,kernel,branches,413399517.0,0.0,results/perf/kernel_direct_t12_trunc.csv
direct_t12_trunc,kernel,branch-misses,109061.0,0.71,results/perf/kernel_direct_t12_trunc.csv
direct_t12_trunc,kernel,cache-references,329295.0,2.17,results/perf/kernel_direct_t12_trunc.csv
direct_t12_trunc,kernel,cache-misses,49299.0,4.2,results/perf/kernel_direct_t12_trunc.csv
direct_t16_rne,kernel,cycles,1087760094.0,0.13,results/perf/kernel_direct_t16_rne.csv
direct_t16_rne,kernel,instructions,2575867811.0,0.0,results/perf/kernel_direct_t16_rne.csv
direct_t16_rne,kernel,branches,542325165.0,0.0,results/perf/kernel_direct_t16_rne.csv
direct_t16_rne,kernel,branch-misses,168155.0,1.27,results/perf/kernel_direct_t16_rne.csv
direct_t16_rne,kernel,cache-references,533833.0,2.24,results/perf/kernel_direct_t16_rne.csv
direct_t16_rne,kernel,cache-misses,76821.0,5.73,results/perf/kernel_direct_t16_rne.csv
direct_t20_rne,kernel,cycles,1366817677.0,0.03,results/perf/kernel_direct_t20_rne.csv
direct_t20_rne,kernel,instructions,2995589199.0,0.0,results/perf/kernel_direct_t20_rne.csv
direct_t20_rne,kernel,branches,631559244.0,0.0,results/perf/kernel_direct_t20_rne.csv
direct_t20_rne,kernel,branch-misses,264425.0,0.36,results/perf/kernel_direct_t20_rne.csv
direct_t20_rne,kernel,cache-references,611023.0,3.78,results/perf/kernel_direct_t20_rne.csv
direct_t20_rne,kernel,cache-misses,73464.0,4.01,results/perf/kernel_direct_t20_rne.csv
divfirst_t12_rne,kernel,cycles,778456003.0,0.08,results/perf/kernel_divfirst_t12_rne.csv
divfirst_t12_rne,kernel,instructions,2064170473.0,0.0,results/perf/kernel_divfirst_t12_rne.csv
divfirst_t12_rne,kernel,branches,422201877.0,0.0,results/perf/kernel_divfirst_t12_rne.csv
divfirst_t12_rne,kernel,branch-misses,192808.0,1.51,results/perf/kernel_divfirst_t12_rne.csv
divfirst_t12_rne,kernel,cache-references,399591.0,2.21,results/perf/kernel_divfirst_t12_rne.csv
divfirst_t12_rne,kernel,cache-misses,63842.0,3.32,results/perf/kernel_divfirst_t12_rne.csv
fine_ln2_2_t12,kernel,cycles,407919314.0,0.27,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_2_t12,kernel,instructions,1429525033.0,0.0,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_2_t12,kernel,branches,291859383.0,0.0,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_2_t12,kernel,branch-misses,511082.0,0.17,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_2_t12,kernel,cache-references,278351.0,2.85,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_2_t12,kernel,cache-misses,47474.0,5.37,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_4_t12,kernel,cycles,362198264.0,0.18,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,instructions,1318398224.0,0.0,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,branches,269198891.0,0.0,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,branch-misses,711247.0,0.15,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,cache-references,281228.0,2.09,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,cache-misses,52389.0,3.2,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_8_t12,kernel,cycles,315874058.0,0.28,results/perf/kernel_fine_ln2_8_t12.csv
fine_ln2_8_t12,kernel,instructions,1229990256.0,0.0,results/perf/kernel_fine_ln2_8_t12.csv
fine_ln2_8_t12,kernel,branches,246605751.0,0.0,results/perf/kernel_fine_ln2_8_t12.csv
fine_ln2_8_t12,kernel,branch-misses,560336.0,0.16,results/perf/kernel_fine_ln2_8_t12.csv
fine_ln2_8_t12,kernel,cache-references,255875.0,1.98,results/perf/kernel_fine_ln2_8_t12.csv
fine_ln2_8_t12,kernel,cache-misses,48762.0,4.11,results/perf/kernel_fine_ln2_8_t12.csv
halving_adaptive,kernel,cycles,770206398.0,0.06,results/perf/kernel_halving_adaptive.csv
halving_adaptive,kernel,instructions,2035180002.0,0.0,results/perf/kernel_halving_adaptive.csv
halving_adaptive,kernel,branches,400801350.0,0.0,results/perf/kernel_halving_adaptive.csv
halving_adaptive,kernel,branch-misses,159482.0,0.38,results/perf/kernel_halving_adaptive.csv
halving_adaptive,kernel,cache-references,400561.0,7.46,results/perf/kernel_halving_adaptive.csv
halving_adaptive,kernel,cache-misses,47732.0,4.34,results/perf/kernel_halving_adaptive.csv
halving_t12,kernel,cycles,796465476.0,0.17,results/perf/kernel_halving_t12.csv
halving_t12,kernel,instructions,1984360310.0,0.0,results/perf/kernel_halving_t12.csv
halving_t12,kernel,branches,387527755.0,0.0,results/perf/kernel_halving_t12.csv
halving_t12,kernel,branch-misses,136150.0,1.12,results/perf/kernel_halving_t12.csv
halving_t12,kernel,cache-references,384459.0,3.51,results/perf/kernel_halving_t12.csv
halving_t12,kernel,cache-misses,55881.0,5.53,results/perf/kernel_halving_t12.csv
libm,kernel,cycles,225929838.0,0.2,results/perf/kernel_libm.csv
libm,kernel,instructions,555894430.0,0.0,results/perf/kernel_libm.csv
libm,kernel,branches,86386740.0,0.0,results/perf/kernel_libm.csv
libm,kernel,branch-misses,54331.0,0.41,results/perf/kernel_libm.csv
libm,kernel,cache-references,198181.0,1.5,results/perf/kernel_libm.csv
libm,kernel,cache-misses,41739.0,2.0,results/perf/kernel_libm.csv
rr_ln2_adaptive,kernel,cycles,458013685.0,0.27,results/perf/kernel_rr_ln2_adaptive.csv
rr_ln2_adaptive,kernel,instructions,1457243881.0,0.0,results/perf/kernel_rr_ln2_adaptive.csv
rr_ln2_adaptive,kernel,branches,296289569.0,0.0,results/perf/kernel_rr_ln2_adaptive.csv
rr_ln2_adaptive,kernel,branch-misses,570410.0,0.49,results/perf/kernel_rr_ln2_adaptive.csv
rr_ln2_adaptive,kernel,cache-references,330582.0,9.8,results/perf/kernel_rr_ln2_adaptive.csv
