method,region,points,max_abs_error,mean_abs_error,rmse,saturation_point_rate,max_intermediate_abs,mean_terms
direct_t12_trunc,full,14001,20.4192907402,2.4088370407304156,5.140241562153144,0.3584029712163417,500.0,11.278694378972931
direct_t12_trunc,near_zero_abs_le_0.05,101,1.4408544894e-07,5.07254928297402e-08,6.23652179995377e-08,0.0,0.0512710213661,3.1584158415841586
direct_t12_trunc,core_abs_le_1,2001,5.39681225931e-07,1.3174809814797748e-07,1.772710197879553e-07,0.0,1.7182815671,7.375812093953024
direct_t12_trunc,negative_lt_minus_1,9000,20.4192907402,3.746883406857514,6.41123628376064,0.5575555555555556,500.0,11.953
direct_t12_trunc,positive_gt_0,4000,0.0149448696654,0.001044177729864638,0.002843828809115286,0.0,53.5832051635,10.739
direct_t12_rne,full,14001,20.4192907998,2.4088369269771657,5.140241595153755,0.3584029712163417,500.0,11.337690164988215
direct_t12_rne,near_zero_abs_le_0.05,101,1.03804028921e-07,3.069550553002861e-08,4.012209049339523e-08,0.0,0.0512712001801,3.3366336633663365
direct_t12_rne,core_abs_le_1,2001,2.29305051391e-07,4.744384352376752e-08,6.03930066106862e-08,0.0,1.71828186512,7.620689655172414
direct_t12_rne,negative_lt_minus_1,9000,20.4192907998,3.746883447218919,6.411236324983082,0.5575555555555556,500.0,11.971666666666666
direct_t12_rne,positive_gt_0,4000,0.0149443928282,0.0010436870493542951,0.0028435144136459943,0.0,53.5832056403,10.84225
direct_t16_rne,full,14001,16.9560873101,2.1257005028707914,4.384789046669084,0.3584029712163417,500.0,14.259338618670094
direct_t16_rne,near_zero_abs_le_0.05,101,1.03804028921e-07,3.069550553002861e-08,4.012209049339523e-08,0.0,0.0512712001801,3.3366336633663365
direct_t16_rne,core_abs_le_1,2001,2.29305051391e-07,4.744384352376752e-08,6.03930066106862e-08,0.0,1.71828186512,7.620689655172414
direct_t16_rne,negative_lt_minus_1,9000,16.9560873101,3.3068798822878875,5.46898808584065,0.5575555555555556,500.0,15.577555555555556
direct_t16_rne,positive_gt_0,4000,6.1889941648e-05,3.4396658412762098e-06,1.0360650546767735e-05,0.0,53.5980882645,12.9555
direct_t20_rne,full,14001,16.1847759673,2.0750340114865296,4.252724149107798,0.3584029712163417,500.0,16.534747518034425
direct_t20_rne,near_zero_abs_le_0.05,101,1.03804028921e-07,3.069550553002861e-08,4.012209049339523e-08,0.0,0.0512712001801,3.3366336633663365
direct_t20_rne,core_abs_le_1,2001,2.29305051391e-07,4.744384352376752e-08,6.03930066106862e-08,0.0,1.71828186512,7.620689655172414
direct_t20_rne,negative_lt_minus_1,9000,16.1847759673,3.2280611392603067,5.304268336814052,0.5575555555555556,500.0,18.680777777777777
direct_t20_rne,positive_gt_0,4000,1.75604149888e-06,2.250101351818396e-07,3.564553325632464e-07,0.0,53.5981500149,13.93775
adaptive_rne,full,14001,16.1225495527,2.071749427612996,4.243896514894463,0.3584029712163417,500.0,20.247053781872722
adaptive_rne,near_zero_abs_le_0.05,101,1.03804028921e-07,3.069550553002861e-08,4.012209049339523e-08,0.0,0.0512712001801,3.3366336633663365
adaptive_rne,core_abs_le_1,2001,2.29305051391e-07,4.744384352376752e-08,6.03930066106862e-08,0.0,1.71828186512,7.620689655172414
adaptive_rne,negative_lt_minus_1,9000,16.1225495527,3.2229514215240975,5.293257949352971,0.5575555555555556,500.0,24.432222222222222
adaptive_rne,positive_gt_0,4000,1.81564614365e-06,2.2521327001701572e-07,3.575646586411317e-07,0.0,53.5981501341,13.991
divfirst_t12_rne,full,14001,27.587477513,3.2995709313974686,7.628494480612808,0.23426898078708663,320.0,11.33983286908078
divfirst_t12_rne,near_zero_abs_le_0.05,101,8.57623875597e-08,2.5025142207362083e-08,3.163841243675582e-08,0.0,0.0512711405754,3.297029702970297
divfirst_t12_rne,core_abs_le_1,2001,2.67905923224e-07,4.840306952050032e-08,6.340747713896965e-08,0.0,1.71828186512,7.666666666666667
divfirst_t12_rne,negative_lt_minus_1,9000,27.587477513,5.132568689817389,9.514743846372534,0.36444444444444446,320.0,11.968222222222222
