method,max_abs_error,mean_abs_error,rmse,max_rel_error,mean_rel_error,mean_terms,mean_muls,mean_divs,mean_shifts,mean_adds,total_saturations,saturation_point_rate,max_intermediate_abs,mean_reduction_steps,kernel_ns_per_call,kernel_ns_std,e2e_ns_per_call,e2e_ns_std
direct_t12_trunc,20.4192907402,2.4088370407304156,5.140241562153144,20.4202178167,2.410463170841744,11.278694378972931,10.469109349332191,10.469109349332191,0.0,10.278694378972931,28405,0.3584029712163417,500.0,0.0,24.63921554142857,0.09472987307657378,35.040505348,0.3110671832450739
direct_t12_rne,20.4192907998,2.4088369269771657,5.140241595153755,20.4202178763,2.4104631546894613,11.337690164988215,10.514677523034068,10.514677523034068,0.0,10.337690164988215,28407,0.3584029712163417,500.0,0.0,27.349281784714286,0.12651875208001598,36.770410691,0.07278622264955778
direct_t16_rne,16.9560873101,2.1257005028707914,4.384789046669084,16.9568571502,2.127616784890151,14.259338618670094,13.587886579530034,13.587886579530034,0.0,13.259338618670094,28407,0.3584029712163417,500.0,0.0,39.361453450714286,0.190473422091511,50.241964611142855,0.5010401141624301
direct_t20_rne,16.1847759673,2.0750340114865296,4.252724149107798,16.1855107884,2.076946904276372,16.534747518034425,16.029569316477396,16.029569316477396,0.0,15.534747518034425,28407,0.3584029712163417,500.0,0.0,49.52992552528571,0.24647038010215117,60.33597914342857,0.3856273555302194
adaptive_rne,16.1225495527,2.071749427612996,4.243896514894463,16.1232815485,2.073661870397788,20.247053781872722,19.579101492750517,19.579101492750517,0.0,19.247053781872722,28407,0.3584029712163417,500.0,0.0,66.75770235771428,0.21791287052115427,76.91277732057142,0.576028574635318
divfirst_t12_rne,27.587477513,3.2995709313974686,7.628494480612808,27.6036078497,3.3010661906356358,11.33983286908078,10.520962788372259,10.520962788372259,0.0,10.33983286908078,15806,0.23426898078708663,320.0,0.0,28.097764625285716,0.06984153386798544,38.16536542042858,0.40386120511180923
rr_ln2_t12,8.95929262867e-06,1.556944243269413e-07,5.042379746019824e-07,4.95077763436e-05,5.566396544263064e-08,5.389257910149275,6.389186486679523,5.389186486679523,0.9505035354617527,6.389257910149275,0,0.0,54.5981521606,1.0,16.999117024714284,0.0914771550330614,25.709110979285715,0.26964867191604625
rr_ln2_adaptive,8.95929262867e-06,1.556944243269413e-07,5.042379746019824e-07,4.95077763436e-05,5.566396544263064e-08,5.389257910149275,6.051210627812299,5.051210627812299,0.9505035354617527,6.389257910149275,0,0.0,54.5981521606,1.0,16.650305733714287,0.11259217630146376,24.917164434571426,0.04264380541133521
halving_t12,5.8489761777e-05,1.4011541631960831e-06,4.769938123673915e-06,4.95077763436e-05,1.311327229310997e-07,6.974858938647239,10.045996714520392,6.974787515177487,6.142418398685808,9.046068137990144,0,0.0,53.5981533527,3.071209199342904,28.917803711,0.18949535984266086,37.97708454257143,0.22793056399801612
halving_adaptive,5.8489761777e-05,1.4011541631960831e-06,4.769938123673915e-06,4.95077763436e-05,1.311327229310997e-07,6.974858938647239,9.597100207128062,6.525891007785158,6.142418398685808,9.046068137990144,0,0.0,53.5981533527,3.071209199342904,27.952651808857144,0.17227498925628437,37.44173628157143,0.17202238476659007
fine_ln2_2_t12,7.28779619408e-06,1.3486052966513534e-07,4.1896471351147644e-07,4.95077763436e-05,5.217049302762684e-08,4.4131847725162485,5.413113349046497,4.413113349046497,0.9505035354617527,5.4131847725162485,0,0.0,54.5981521606,1.0,14.936411621142856,0.1412848112369579,21.745429106285712,0.2538670793366613
fine_ln2_4_t12,4.5403930784e-06,1.3937136587993235e-07,4.252792954071537e-07,4.95077763436e-05,5.528849333233562e-08,3.683165488179416,4.683094064709664,3.6830940647096635,0.9505035354617527,4.683165488179416,0,0.0,54.5981502533,1.0,13.055508161285713,0.12808530607303736,19.871061895571426,0.2866877654837925
fine_ln2_8_t12,4.47574713291e-06,1.275924520464367e-07,3.8841177296070825e-07,4.95077763436e-05,5.3192489995391216e-08,3.2398400114277552,4.239768587958003,3.239768587958003,0.9505035354617527,4.239840011427755,0,0.0,54.5981502533,1.0,11.411975609285715,0.10340142969557597,18.78061707142857,0.2891656366596444
