method,scope,samples,repeats,calls,total_ns,ns_per_call
libm,kernel,4096,1500,6144000,48980318,7.972056966
libm,kernel,4096,1500,6144000,49979482,8.134681315
libm,kernel,4096,1500,6144000,48860372,7.952534505
libm,kernel,4096,1500,6144000,49977589,8.134373210
libm,kernel,4096,1500,6144000,50060544,8.147875000
libm,kernel,4096,1500,6144000,49131341,7.996637533
libm,kernel,4096,1500,6144000,50501411,8.219630697
direct_t12_trunc,kernel,4096,1500,6144000,151892733,24.722124512
direct_t12_trunc,kernel,4096,1500,6144000,151176920,24.605618490
direct_t12_trunc,kernel,4096,1500,6144000,150858904,24.553858073
direct_t12_trunc,kernel,4096,1500,6144000,151024685,24.580840658
direct_t12_trunc,kernel,4096,1500,6144000,152097056,24.755380208
direct_t12_trunc,kernel,4096,1500,6144000,151952315,24.731822103
direct_t12_trunc,kernel,4096,1500,6144000,150680769,24.524864746
direct_t12_rne,kernel,4096,1500,6144000,167842939,27.318186686
direct_t12_rne,kernel,4096,1500,6144000,167450112,27.254250000
direct_t12_rne,kernel,4096,1500,6144000,167233055,27.218921712
direct_t12_rne,kernel,4096,1500,6144000,168738669,27.463976074
direct_t12_rne,kernel,4096,1500,6144000,168860929,27.483875163
direct_t12_rne,kernel,4096,1500,6144000,167211955,27.215487467
direct_t12_rne,kernel,4096,1500,6144000,168900252,27.490275391
direct_t16_rne,kernel,4096,1500,6144000,240534574,39.149507487
direct_t16_rne,kernel,4096,1500,6144000,240243648,39.102156250
direct_t16_rne,kernel,4096,1500,6144000,241843790,39.362596029
direct_t16_rne,kernel,4096,1500,6144000,242301880,39.437154948
direct_t16_rne,kernel,4096,1500,6144000,243671910,39.660141602
direct_t16_rne,kernel,4096,1500,6144000,242467250,39.464070638
direct_t16_rne,kernel,4096,1500,6144000,241794338,39.354547201
direct_t20_rne,kernel,4096,1500,6144000,303400644,49.381615234
direct_t20_rne,kernel,4096,1500,6144000,303715695,49.432893066
direct_t20_rne,kernel,4096,1500,6144000,307484526,50.046309570
direct_t20_rne,kernel,4096,1500,6144000,305033839,49.647434733
direct_t20_rne,kernel,4096,1500,6144000,303750872,49.438618490
direct_t20_rne,kernel,4096,1500,6144000,303355299,49.374234863
direct_t20_rne,kernel,4096,1500,6144000,303442162,49.388372721
adaptive_rne,kernel,4096,1500,6144000,407743163,66.364447103
adaptive_rne,kernel,4096,1500,6144000,410972702,66.890088216
adaptive_rne,kernel,4096,1500,6144000,411967279,67.051965983
adaptive_rne,kernel,4096,1500,6144000,409909918,66.717109049
adaptive_rne,kernel,4096,1500,6144000,410390700,66.795361328
adaptive_rne,kernel,4096,1500,6144000,410719147,66.848819499
adaptive_rne,kernel,4096,1500,6144000,409412354,66.636125326
divfirst_t12_rne,kernel,4096,1500,6144000,172500879,28.076314941
divfirst_t12_rne,kernel,4096,1500,6144000,172517339,28.078993978
divfirst_t12_rne,kernel,4096,1500,6144000,172418434,28.062896159
divfirst_t12_rne,kernel,4096,1500,6144000,173548203,28.246777832
divfirst_t12_rne,kernel,4096,1500,6144000,172669345,28.103734538
divfirst_t12_rne,kernel,4096,1500,6144000,172202569,28.027761882
divfirst_t12_rne,kernel,4096,1500,6144000,172571892,28.087873047
rr_ln2_t12,kernel,4096,1500,6144000,105128253,17.110718262
rr_ln2_t12,kernel,4096,1500,6144000,103518633,16.848735840
rr_ln2_t12,kernel,4096,1500,6144000,104500876,17.008606120
rr_ln2_t12,kernel,4096,1500,6144000,103979608,16.923764323
rr_ln2_t12,kernel,4096,1500,6144000,104912438,17.075592122
rr_ln2_t12,kernel,4096,1500,6144000,104772004,17.052735026
rr_ln2_t12,kernel,4096,1500,6144000,104286213,16.973667480
rr_ln2_adaptive,kernel,4096,1500,6144000,101477574,16.516532227
rr_ln2_adaptive,kernel,4096,1500,6144000,102987947,16.762361165
rr_ln2_adaptive,kernel,4096,1500,6144000,102727578,16.719983398
rr_ln2_adaptive,kernel,4096,1500,6144000,103289754,16.811483398
rr_ln2_adaptive,kernel,4096,1500,6144000,101924392,16.589256510
rr_ln2_adaptive,kernel,4096,1500,6144000,101804507,16.569743978
rr_ln2_adaptive,kernel,4096,1500,6144000,101884597,16.582779460
halving_t12,kernel,4096,1500,6144000,179485703,29.213167806
halving_t12,kernel,4096,1500,6144000,179162387,29.160544759
halving_t12,kernel,4096,1500,6144000,177346380,28.864970703
halving_t12,kernel,4096,1500,6144000,177371217,28.869013184
halving_t12,kernel,4096,1500,6144000,176668358,28.754615560
halving_t12,kernel,4096,1500,6144000,176779857,28.772763184
halving_t12,kernel,4096,1500,6144000,176883000,28.789550781
halving_adaptive,kernel,4096,1500,6144000,171102305,27.848682454
halving_adaptive,kernel,4096,1500,6144000,171090612,27.846779297
halving_adaptive,kernel,4096,1500,6144000,171489621,27.911722168
halving_adaptive,kernel,4096,1500,6144000,170875779,27.811812988
halving_adaptive,kernel,4096,1500,6144000,173544416,28.246161458
halving_adaptive,kernel,4096,1500,6144000,172949430,28.149321289
halving_adaptive,kernel,4096,1500,6144000,171135486,27.854083008
fine_ln2_2_t12,kernel,4096,1500,6144000,90560872,14.739725260
fine_ln2_2_t12,kernel,4096,1500,6144000,91690491,14.923582520
