method,scope,ns_per_call_mean,ns_per_call_std
adaptive_rne,e2e,76.91277732057142,0.576028574635318
adaptive_rne,kernel,66.75770235771428,0.21791287052115427
direct_t12_rne,e2e,36.770410691,0.07278622264955778
direct_t12_rne,kernel,27.349281784714286,0.12651875208001598
direct_t12_trunc,e2e,35.040505348,0.3110671832450739
direct_t12_trunc,kernel,24.63921554142857,0.09472987307657378
direct_t16_rne,e2e,50.241964611142855,0.5010401141624301
direct_t16_rne,kernel,39.361453450714286,0.190473422091511
direct_t20_rne,e2e,60.33597914342857,0.3856273555302194
direct_t20_rne,kernel,49.52992552528571,0.24647038010215117
divfirst_t12_rne,e2e,38.16536542042858,0.40386120511180923
divfirst_t12_rne,kernel,28.097764625285716,0.06984153386798544
fine_ln2_2_t12,e2e,21.745429106285712,0.2538670793366613
fine_ln2_2_t12,kernel,14.936411621142856,0.1412848112369579
fine_ln2_4_t12,e2e,19.871061895571426,0.2866877654837925
fine_ln2_4_t12,kernel,13.055508161285713,0.12808530607303736
fine_ln2_8_t12,e2e,18.78061707142857,0.2891656366596444
fine_ln2_8_t12,kernel,11.411975609285715,0.10340142969557597
halving_adaptive,e2e,37.44173628157143,0.17202238476659007
halving_adaptive,kernel,27.952651808857144,0.17227498925628437
halving_t12,e2e,37.97708454257143,0.22793056399801612
halving_t12,kernel,28.917803711,0.18949535984266086
libm,e2e,8.120835379428572,0.08185124443727411
libm,kernel,8.079684175142857,0.10400159697267676
rr_ln2_adaptive,e2e,24.917164434571426,0.04264380541133521
rr_ln2_adaptive,kernel,16.650305733714287,0.11259217630146376
rr_ln2_t12,e2e,25.709110979285715,0.26964867191604625
rr_ln2_t12,kernel,16.999117024714284,0.0914771550330614
