method,x,xq,approx,reference,signed_error,abs_error,rel_error,terms,muls,divs,shifts,adds,saturations,max_abs_intermediate_q,max_abs_intermediate_real,reduction_steps
direct_t12_trunc,-10,-167772160,19.4193361402,-0.99995460007,20.4192907402,20.4192907402,20.4202178167,12,11,11,0,11,8,8388608000,500,0
direct_t12_rne,-10,-167772160,19.4193361998,-0.99995460007,20.4192907998,20.4192907998,20.4202178763,12,11,11,0,11,9,8388608000,500,0
direct_t16_rne,-10,-167772160,15.95613271,-0.99995460007,16.9560873101,16.9560873101,16.9568571502,16,15,15,0,15,9,8388608000,500,0
direct_t20_rne,-10,-167772160,15.1848213673,-0.99995460007,16.1847759673,16.1847759673,16.1855107884,20,19,19,0,19,9,8388608000,500,0
adaptive_rne,-10,-167772160,15.1225949526,-0.99995460007,16.1225495527,16.1225495527,16.1232815485,35,34,34,0,34,9,8388608000,500,0
divfirst_t12_rne,-10,-167772160,20.6060603857,-0.99995460007,21.6060149858,21.6060149858,21.6069959419,12,11,11,0,11,8,5368709120,320,0
rr_ln2_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,7,8,7,1,8,0,16776454,0.999954581261,1
rr_ln2_adaptive,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,7,7,6,1,8,0,16776454,0.999954581261,1
halving_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,7,12,7,10,11,0,83886080,5,5
halving_adaptive,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,7,11,6,10,11,0,83886080,5,5
fine_ln2_2_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,4,5,4,1,5,0,24958876,1.48766493797,1
fine_ln2_4_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,4,5,4,1,5,0,24958876,1.48766493797,1
fine_ln2_8_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,4,5,4,1,5,0,24958875,1.48766487837,1
fine_ln2_16_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,3,4,3,1,4,0,24958704,1.48765468597,1
fine_ln2_32_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,3,4,3,1,4,0,24959048,1.48767518997,1
fine_ln2_64_t12,-10,-167772160,-0.999954581261,-0.99995460007,1.88095563569e-08,1.88095563569e-08,1.88104103482e-08,2,3,2,1,3,0,24958361,1.48763424158,1
direct_t12_trunc,-9.99,-167604388,19.3216382861,-0.999954143793,20.3215924299,20.3215924299,20.3225243438,12,11,11,0,11,8,8363467348,498.501500368,0
direct_t12_rne,-9.99,-167604388,19.3216384053,-0.999954143793,20.3215925491,20.3215925491,20.322524463,12,11,11,0,11,8,8363467359,498.501501024,0
direct_t16_rne,-9.99,-167604388,15.8639478683,-0.999954143793,16.8639020121,16.8639020121,16.8646753622,16,15,15,0,15,8,8363467359,498.501501024,0
direct_t20_rne,-9.99,-167604388,15.0974888206,-0.999954143793,16.0974429643,16.0974429643,16.0981811659,20,19,19,0,19,8,8363467359,498.501501024,0
