method,max_abs_error,mean_abs_error,rmse,max_rel_error,mean_rel_error,mean_terms,mean_muls,mean_divs,mean_shifts,mean_adds,total_saturations,saturation_point_rate,max_intermediate_abs,mean_reduction_steps,kernel_ns_per_call,kernel_ns_std,e2e_ns_per_call,e2e_ns_std
direct_t12_trunc,20.4192907402,2.413857830996946,5.151641427779201,20.4202178167,2.41703163157388,11.276945039257672,10.466809421841543,10.466809421841543,0.0,10.276945039257672,2842,0.35831548893647397,500.0,0.0,25.261476237,0.4582004331031502,35.97046712233333,0.5621041984131613
direct_t12_rne,20.4192907998,2.4138577217010404,5.151641461715693,20.4202178763,2.417031611901501,11.338329764453961,10.513918629550322,10.513918629550322,0.0,10.338329764453961,2844,0.35831548893647397,500.0,0.0,27.873111979,0.3313334683866712,37.58440104133334,0.597356898499739
direct_t16_rne,16.9560873101,2.129793230433512,4.3939396948769405,16.9568571502,2.133079194766209,14.260528194147037,13.588865096359743,13.588865096359743,0.0,13.260528194147037,2844,0.35831548893647397,500.0,0.0,39.873916015666666,0.2823087179559665,50.80756510433334,0.5709278283246167
direct_t20_rne,16.1847759673,2.0789187034141,4.26127894248154,16.1855107884,2.082168571970244,16.53604568165596,16.029978586723768,16.029978586723768,0.0,15.53604568165596,2844,0.35831548893647397,500.0,0.0,50.51176269533334,0.10088283750125518,61.019612630333334,0.1226003628302151
adaptive_rne,16.1225495527,2.0756171651801036,4.252398580982355,16.1232815485,2.0788644594187375,20.25196288365453,19.583868665239116,19.583868665239116,0.0,19.25196288365453,2844,0.35831548893647397,500.0,0.0,69.24681640600001,0.008152950352995774,78.93993652333333,0.11692790173836842
divfirst_t12_rne,27.546624245,3.304353984270287,7.63586481842352,27.5626503168,3.3079693285876037,11.341184867951464,10.521056388294076,10.521056388294076,0.0,10.341184867951464,1584,0.23411848679514632,320.0,0.0,28.713540039333335,0.09182253609521467,39.85959960933334,0.3318459802364687
rr_ln2_t12,7.36527735512e-06,1.504977563194544e-07,4.85775424732951e-07,3.41655954712e-06,4.5167527529770413e-08,5.389007851534618,6.388294075660243,5.388294075660243,0.9507494646680942,6.389007851534618,0,0.0,54.5981521606,1.0,18.048754882666667,0.1383559183517895,27.447672526,0.1768028405787617
rr_ln2_adaptive,7.36527735512e-06,1.504977563194544e-07,4.85775424732951e-07,3.41655954712e-06,4.5167527529770413e-08,5.389007851534618,6.050678087080657,5.050678087080657,0.9507494646680942,6.389007851534618,0,0.0,54.5981521606,1.0,18.001207682333334,0.7392683845780651,25.564127604000003,0.05930409359612161
halving_t12,5.8489761777e-05,1.407345341490692e-06,4.982345236551868e-06,3.41655954712e-06,1.1941716006950711e-07,6.980728051391863,10.049250535331906,6.980014275517488,6.138472519628836,9.049964311206281,0,0.0,53.5981533527,3.069236259814418,29.689428711,0.5521145210076873,38.976416015666665,0.36289152384512824
halving_adaptive,5.8489761777e-05,1.407345341490692e-06,4.982345236551868e-06,3.41655954712e-06,1.1941716006950711e-07,6.980728051391863,9.599571734475374,6.530335474660957,6.138472519628836,9.049964311206281,0,0.0,53.5981533527,3.069236259814418,28.686013997,0.06066348243725821,38.44379231766667,0.3940378676355409
fine_ln2_2_t12,4.26605265602e-06,1.3547293383147351e-07,4.1800689602984e-07,3.41655954712e-06,4.1022915812737244e-08,4.4147037830121345,5.413990007137759,4.413990007137759,0.9507494646680942,5.4147037830121345,0,0.0,54.5981521606,1.0,16.05786458333333,0.8573897706902939,23.269031575666663,0.13657518162455354
fine_ln2_4_t12,4.11784573373e-06,1.4297742991539644e-07,4.428568213747329e-07,3.41655954712e-06,4.379718033532747e-08,3.6837972876516774,4.683083511777302,3.6830835117773018,0.9507494646680942,4.683797287651678,0,0.0,54.5981502533,1.0,13.006157226666668,0.7744622978422244,20.829298502666667,0.8645545031377296
fine_ln2_8_t12,4.11784573373e-06,1.3349732514451127e-07,4.285547993437535e-07,3.41655954712e-06,4.031985890796135e-08,3.2419700214132763,4.241256245538901,3.2412562455389007,0.9507494646680942,4.241970021413276,0,0.0,54.5981502533,1.0,11.939391276,0.5018314552661395,18.875566406,1.0294295790739552
fine_ln2_16_t12,0.00015098369046,8.20862327025163e-06,2.5264259713719457e-05,3.41655954712e-06,5.552464062870905e-07,2.7351891506067094,3.7344753747323343,2.7344753747323343,0.9500356887937188,3.7351891506067094,0,0.0,54.5982990265,1.0,10.364368489666667,0.12530553544847156,17.758513997333335,1.371046946147375
fine_ln2_32_t12,0.000152367738963,8.17772477569288e-06,2.5189335904967614e-05,3.67375803336e-06,5.662045524417754e-07,2.473233404710921,3.472519628836545,2.472519628836545,0.9500356887937188,3.473233404710921,0,0.0,54.5979976654,1.0,11.149482422,1.3227992501846602,17.339856770666668,1.7228361640948544
fine_ln2_64_t12,0.000452261777639,2.4607624360652287e-05,7.581092987413832e-05,8.43801096417e-06,1.6486774674344753e-06,1.9650249821556032,2.9643112062812276,1.9643112062812278,0.9507494646680942,2.965024982155603,0,0.0,54.5986022949,1.0,9.915724284,1.4895108063624705,15.562122395666668,2.3031398068469695
