method,scope,samples,repeats,calls,total_ns,ns_per_call
libm,kernel,1024,200,204800,1905354,9.303486328
libm,kernel,1024,200,204800,1692466,8.263994141
libm,kernel,1024,200,204800,1687807,8.241245117
direct_t12_trunc,kernel,1024,200,204800,5161895,25.204565430
direct_t12_trunc,kernel,1024,200,204800,5272673,25.745473633
direct_t12_trunc,kernel,1024,200,204800,5086083,24.834389648
direct_t12_rne,kernel,1024,200,204800,5639340,27.535839844
direct_t12_rne,kernel,1024,200,204800,5710915,27.885327148
direct_t12_rne,kernel,1024,200,204800,5774985,28.198168945
direct_t16_rne,kernel,1024,200,204800,8229991,40.185502930
direct_t16_rne,kernel,1024,200,204800,8151263,39.801088867
direct_t16_rne,kernel,1024,200,204800,8117280,39.635156250
direct_t20_rne,kernel,1024,200,204800,10366149,50.615961914
direct_t20_rne,kernel,1024,200,204800,10324902,50.414560547
direct_t20_rne,kernel,1024,200,204800,10343376,50.504765625
adaptive_rne,kernel,1024,200,204800,14183551,69.255620117
adaptive_rne,kernel,1024,200,204800,14181438,69.245302734
adaptive_rne,kernel,1024,200,204800,14180255,69.239526367
divfirst_t12_rne,kernel,1024,200,204800,5902234,28.819501953
divfirst_t12_rne,kernel,1024,200,204800,5869021,28.657329102
divfirst_t12_rne,kernel,1024,200,204800,5870344,28.663789063
rr_ln2_t12,kernel,1024,200,204800,3727113,18.198793945
rr_ln2_t12,kernel,1024,200,204800,3690754,18.021259766
rr_ln2_t12,kernel,1024,200,204800,3671288,17.926210937
rr_ln2_adaptive,kernel,1024,200,204800,3824476,18.674199219
rr_ln2_adaptive,kernel,1024,200,204800,3524593,17.209926758
rr_ln2_adaptive,kernel,1024,200,204800,3710873,18.119497070
halving_t12,kernel,1024,200,204800,6022890,29.408642578
halving_t12,kernel,1024,200,204800,6210663,30.325502930
halving_t12,kernel,1024,200,204800,6007632,29.334140625
halving_adaptive,kernel,1024,200,204800,5889219,28.755952148
halving_adaptive,kernel,1024,200,204800,5868430,28.654443359
halving_adaptive,kernel,1024,200,204800,5867038,28.647646484
fine_ln2_2_t12,kernel,1024,200,204800,3491371,17.047709961
fine_ln2_2_t12,kernel,1024,200,204800,3190667,15.579428711
fine_ln2_2_t12,kernel,1024,200,204800,3183914,15.546455078
fine_ln2_4_t12,kernel,1024,200,204800,2570713,12.552309570
fine_ln2_4_t12,kernel,1024,200,204800,2846801,13.900395508
fine_ln2_4_t12,kernel,1024,200,204800,2573469,12.565766602
fine_ln2_8_t12,kernel,1024,200,204800,2351792,11.483359375
fine_ln2_8_t12,kernel,1024,200,204800,2428476,11.857792969
fine_ln2_8_t12,kernel,1024,200,204800,2555294,12.477021484
fine_ln2_16_t12,kernel,1024,200,204800,2106112,10.283750000
fine_ln2_16_t12,kernel,1024,200,204800,2109568,10.300625000
fine_ln2_16_t12,kernel,1024,200,204800,2152188,10.508730469
fine_ln2_32_t12,kernel,1024,200,204800,2595409,12.672895508
