method,scope,ns_per_call_mean,ns_per_call_std
adaptive_rne,e2e,78.93993652333333,0.11692790173836842
adaptive_rne,kernel,69.24681640600001,0.008152950352995774
direct_t12_rne,e2e,37.58440104133334,0.597356898499739
direct_t12_rne,kernel,27.873111979,0.3313334683866712
direct_t12_trunc,e2e,35.97046712233333,0.5621041984131613
direct_t12_trunc,kernel,25.261476237,0.4582004331031502
direct_t16_rne,e2e,50.80756510433334,0.5709278283246167
direct_t16_rne,kernel,39.873916015666666,0.2823087179559665
direct_t20_rne,e2e,61.019612630333334,0.1226003628302151
direct_t20_rne,kernel,50.51176269533334,0.10088283750125518
divfirst_t12_rne,e2e,39.85959960933334,0.3318459802364687
divfirst_t12_rne,kernel,28.713540039333335,0.09182253609521467
fine_ln2_16_t12,e2e,17.758513997333335,1.371046946147375
fine_ln2_16_t12,kernel,10.364368489666667,0.12530553544847156
fine_ln2_2_t12,e2e,23.269031575666663,0.13657518162455354
fine_ln2_2_t12,kernel,16.05786458333333,0.8573897706902939
fine_ln2_32_t12,e2e,17.339856770666668,1.7228361640948544
fine_ln2_32_t12,kernel,11.149482422,1.3227992501846602
fine_ln2_4_t12,e2e,20.829298502666667,0.8645545031377296
fine_ln2_4_t12,kernel,13.006157226666668,0.7744622978422244
fine_ln2_64_t12,e2e,15.562122395666668,2.3031398068469695
fine_ln2_64_t12,kernel,9.915724284,1.4895108063624705
fine_ln2_8_t12,e2e,18.875566406,1.0294295790739552
fine_ln2_8_t12,kernel,11.939391276,0.5018314552661395
halving_adaptive,e2e,38.44379231766667,0.3940378676355409
halving_adaptive,kernel,28.686013997,0.06066348243725821
halving_t12,e2e,38.976416015666665,0.36289152384512824
halving_t12,kernel,29.689428711,0.5521145210076873
libm,e2e,8.260878906333334,0.042081145240315705
libm,kernel,8.602908528666667,0.606824784606142
rr_ln2_adaptive,e2e,25.564127604000003,0.05930409359612161
rr_ln2_adaptive,kernel,18.001207682333334,0.7392683845780651
rr_ln2_t12,e2e,27.447672526,0.1768028405787617
rr_ln2_t12,kernel,18.048754882666667,0.1383559183517895
