method,scope,event,value,stddev_percent,source
adaptive_rne,kernel,cycles,1836124064.0,0.32,results/perf/kernel_adaptive_rne.csv
adaptive_rne,kernel,instructions,3739527629.0,0.0,results/perf/kernel_adaptive_rne.csv
adaptive_rne,kernel,branches,788770205.0,0.0,results/perf/kernel_adaptive_rne.csv
adaptive_rne,kernel,branch-misses,780572.0,1.32,results/perf/kernel_adaptive_rne.csv
adaptive_rne,kernel,cache-references,1066189.0,4.07,results/perf/kernel_adaptive_rne.csv
adaptive_rne,kernel,cache-misses,239116.0,8.38,results/perf/kernel_adaptive_rne.csv
direct_t12_rne,kernel,cycles,844088510.0,3.12,results/perf/kernel_direct_t12_rne.csv
direct_t12_rne,kernel,instructions,2048754619.0,0.01,results/perf/kernel_direct_t12_rne.csv
direct_t12_rne,kernel,branches,429406160.0,0.01,results/perf/kernel_direct_t12_rne.csv
direct_t12_rne,kernel,branch-misses,189014.0,8.11,results/perf/kernel_direct_t12_rne.csv
direct_t12_rne,kernel,cache-references,884987.0,12.52,results/perf/kernel_direct_t12_rne.csv
direct_t12_rne,kernel,cache-misses,281362.0,19.23,results/perf/kernel_direct_t12_rne.csv
direct_t12_trunc,kernel,cycles,722792612.0,1.55,results/perf/kernel_direct_t12_trunc.csv
direct_t12_trunc,kernel,instructions,1913580386.0,0.01,results/perf/kernel_direct_t12_trunc.csv
direct_t12_trunc,kernel,branches,413538722.0,0.01,results/perf/kernel_direct_t12_trunc.csv
direct_t12_trunc,kernel,branch-misses,141588.0,4.36,results/perf/kernel_direct_t12_trunc.csv
direct_t12_trunc,kernel,cache-references,635898.0,7.63,results/perf/kernel_direct_t12_trunc.csv
direct_t12_trunc,kernel,cache-misses,166668.0,14.07,results/perf/kernel_direct_t12_trunc.csv
direct_t16_rne,kernel,cycles,1111281306.0,1.12,results/perf/kernel_direct_t16_rne.csv
direct_t16_rne,kernel,instructions,2576260329.0,0.0,results/perf/kernel_direct_t16_rne.csv
direct_t16_rne,kernel,branches,542405738.0,0.0,results/perf/kernel_direct_t16_rne.csv
direct_t16_rne,kernel,branch-misses,189216.0,4.48,results/perf/kernel_direct_t16_rne.csv
direct_t16_rne,kernel,cache-references,706668.0,8.4,results/perf/kernel_direct_t16_rne.csv
direct_t16_rne,kernel,cache-misses,169002.0,19.77,results/perf/kernel_direct_t16_rne.csv
direct_t20_rne,kernel,cycles,1374632475.0,0.6,results/perf/kernel_direct_t20_rne.csv
direct_t20_rne,kernel,instructions,2995934381.0,0.0,results/perf/kernel_direct_t20_rne.csv
direct_t20_rne,kernel,branches,631629168.0,0.0,results/perf/kernel_direct_t20_rne.csv
direct_t20_rne,kernel,branch-misses,276733.0,1.97,results/perf/kernel_direct_t20_rne.csv
direct_t20_rne,kernel,cache-references,706002.0,6.55,results/perf/kernel_direct_t20_rne.csv
direct_t20_rne,kernel,cache-misses,134606.0,18.18,results/perf/kernel_direct_t20_rne.csv
divfirst_t12_rne,kernel,cycles,886875597.0,3.11,results/perf/kernel_divfirst_t12_rne.csv
divfirst_t12_rne,kernel,instructions,2065031411.0,0.01,results/perf/kernel_divfirst_t12_rne.csv
divfirst_t12_rne,kernel,branches,422375419.0,0.01,results/perf/kernel_divfirst_t12_rne.csv
divfirst_t12_rne,kernel,branch-misses,172863.0,6.71,results/perf/kernel_divfirst_t12_rne.csv
divfirst_t12_rne,kernel,cache-references,934365.0,12.3,results/perf/kernel_divfirst_t12_rne.csv
divfirst_t12_rne,kernel,cache-misses,308531.0,20.62,results/perf/kernel_divfirst_t12_rne.csv
fine_ln2_16_t12,kernel,cycles,289840951.0,0.33,results/perf/kernel_fine_ln2_16_t12.csv
fine_ln2_16_t12,kernel,instructions,1153229923.0,0.0,results/perf/kernel_fine_ln2_16_t12.csv
fine_ln2_16_t12,kernel,branches,232982377.0,0.0,results/perf/kernel_fine_ln2_16_t12.csv
fine_ln2_16_t12,kernel,branch-misses,691313.0,0.08,results/perf/kernel_fine_ln2_16_t12.csv
fine_ln2_16_t12,kernel,cache-references,246771.0,7.8,results/perf/kernel_fine_ln2_16_t12.csv
fine_ln2_16_t12,kernel,cache-misses,40344.0,4.44,results/perf/kernel_fine_ln2_16_t12.csv
fine_ln2_2_t12,kernel,cycles,402456308.0,0.07,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_2_t12,kernel,instructions,1429545290.0,0.0,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_2_t12,kernel,branches,291863544.0,0.0,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_2_t12,kernel,branch-misses,509135.0,0.11,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_2_t12,kernel,cache-references,270578.0,2.36,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_2_t12,kernel,cache-misses,41224.0,2.63,results/perf/kernel_fine_ln2_2_t12.csv
fine_ln2_32_t12,kernel,cycles,273091507.0,0.73,results/perf/kernel_fine_ln2_32_t12.csv
fine_ln2_32_t12,kernel,instructions,1098888679.0,0.0,results/perf/kernel_fine_ln2_32_t12.csv
fine_ln2_32_t12,kernel,branches,217290171.0,0.0,results/perf/kernel_fine_ln2_32_t12.csv
fine_ln2_32_t12,kernel,branch-misses,550719.0,0.32,results/perf/kernel_fine_ln2_32_t12.csv
fine_ln2_32_t12,kernel,cache-references,248927.0,5.63,results/perf/kernel_fine_ln2_32_t12.csv
fine_ln2_32_t12,kernel,cache-misses,56645.0,12.51,results/perf/kernel_fine_ln2_32_t12.csv
fine_ln2_4_t12,kernel,cycles,356209738.0,0.3,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,instructions,1318315717.0,0.0,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,branches,269181959.0,0.0,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,branch-misses,723845.0,2.37,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,cache-references,243013.0,1.75,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_4_t12,kernel,cache-misses,39569.0,1.66,results/perf/kernel_fine_ln2_4_t12.csv
fine_ln2_64_t12,kernel,cycles,261255267.0,0.22,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_64_t12,kernel,instructions,1033681289.0,0.0,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_64_t12,kernel,branches,206114879.0,0.0,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_64_t12,kernel,branch-misses,885183.0,0.08,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_64_t12,kernel,cache-references,252508.0,1.71,results/perf/kernel_fine_ln2_64_t12.csv
fine_ln2_64_t12,kernel,cache-misses,63943.0,4.49,results/perf/kernel_fine_ln2_64_t12.csv
