method,max_abs_error,mean_abs_error,rmse,max_rel_error,mean_rel_error,mean_terms,mean_muls,mean_divs,mean_shifts,mean_adds,total_saturations,saturation_point_rate,max_intermediate_abs,mean_reduction_steps,kernel_ns_per_call,kernel_ns_std,e2e_ns_per_call,e2e_ns_std
direct_t12_trunc,20.4192907402,2.4088370407304156,5.140241562153144,20.4202178167,2.410463170841744,11.278694378972931,10.469109349332191,10.469109349332191,0.0,10.278694378972931,28405,0.3584029712163417,500.0,0.0,24.843485491285715,0.07931246531420272,35.129496745,0.2584110562957245
direct_t12_rne,20.4192907998,2.4088369269771657,5.140241595153755,20.4202178763,2.4104631546894613,11.337690164988215,10.514677523034068,10.514677523034068,0.0,10.337690164988215,28407,0.3584029712163417,500.0,0.0,27.26582103328571,0.19993803487743808,36.989324544285715,0.44859360363528183
direct_t16_rne,16.9560873101,2.1257005028707914,4.384789046669084,16.9568571502,2.127616784890151,14.259338618670094,13.587886579530034,13.587886579530034,0.0,13.259338618670094,28407,0.3584029712163417,500.0,0.0,39.338885835142854,0.1941093445509574,50.59461542028571,0.38902284781028473
direct_t20_rne,16.1847759673,2.0750340114865296,4.252724149107798,16.1855107884,2.076946904276372,16.534747518034425,16.029569316477396,16.029569316477396,0.0,15.534747518034425,28407,0.3584029712163417,500.0,0.0,49.169204357285714,0.18151776398227462,60.07534479628571,0.9404881699730689
adaptive_rne,16.1225495527,2.071749427612996,4.243896514894463,16.1232815485,2.073661870397788,20.247053781872722,19.579101492750517,19.579101492750517,0.0,19.247053781872722,28407,0.3584029712163417,500.0,0.0,65.476833101,0.2278411607511175,74.80181105828571,0.16363600211789422
divfirst_t12_rne,27.587477513,3.2995709313974686,7.628494480612808,27.6036078497,3.3010661906356358,11.33983286908078,10.520962788372259,10.520962788372259,0.0,10.33983286908078,15806,0.23426898078708663,320.0,0.0,28.348596307571427,0.15155652603390887,38.59056349985714,0.03174372325007773
rr_ln2_t12,8.95929262867e-06,1.556944243269413e-07,5.042379746019824e-07,4.95077763436e-05,5.566396544263064e-08,5.389257910149275,6.389186486679523,5.389186486679523,0.9505035354617527,6.389257910149275,0,0.0,54.5981521606,1.0,17.31465232057143,0.15869908500727137,26.03052597185714,0.026642561479339227
rr_ln2_adaptive,8.95929262867e-06,1.556944243269413e-07,5.042379746019824e-07,4.95077763436e-05,5.566396544263064e-08,5.389257910149275,6.051210627812299,5.051210627812299,0.9505035354617527,6.389257910149275,0,0.0,54.5981521606,1.0,16.445337402285713,0.06866679624597406,24.771758440428574,0.05131606037797654
halving_t12,5.8489761777e-05,1.4011541631960831e-06,4.769938123673915e-06,4.95077763436e-05,1.311327229310997e-07,6.974858938647239,10.045996714520392,6.974787515177487,6.142418398685808,9.046068137990144,0,0.0,53.5981533527,3.071209199342904,28.774738792714288,0.17632974213841815,37.790158784285715,0.05800654920741274
halving_adaptive,5.8489761777e-05,1.4011541631960831e-06,4.769938123673915e-06,4.95077763436e-05,1.311327229310997e-07,6.974858938647239,9.597100207128062,6.525891007785158,6.142418398685808,9.046068137990144,0,0.0,53.5981533527,3.071209199342904,27.87983293785714,0.09346042837262435,37.35217882728572,0.1310347212295334
fine_ln2_2_t12,7.28779619408e-06,1.3486052966513534e-07,4.1896471351147644e-07,4.95077763436e-05,5.217049302762684e-08,4.4131847725162485,5.413113349046497,4.413113349046497,0.9505035354617527,5.4131847725162485,0,0.0,54.5981521606,1.0,14.629347679571428,0.05668640357979572,22.522910877142856,0.07619310799341862
fine_ln2_4_t12,4.5403930784e-06,1.3937136587993235e-07,4.252792954071537e-07,4.95077763436e-05,5.528849333233562e-08,3.683165488179416,4.683094064709664,3.6830940647096635,0.9505035354617527,4.683165488179416,0,0.0,54.5981502533,1.0,13.067290201857144,0.10788170556858312,19.875594935714286,0.05168340279873315
fine_ln2_8_t12,4.47574713291e-06,1.275924520464367e-07,3.8841177296070825e-07,4.95077763436e-05,5.3192489995391216e-08,3.2398400114277552,4.239768587958003,3.239768587958003,0.9505035354617527,4.239840011427755,0,0.0,54.5981502533,1.0,11.423083240428571,0.059834552247256936,18.611653762142858,0.16864706874537333
fine_ln2_16_t12,0.000152516364402,8.175900202907506e-06,2.515104384629743e-05,4.95077763436e-05,5.675142799570714e-07,2.732161988429398,3.7320905649596456,2.7320905649596456,0.9505035354617527,3.732161988429398,0,0.0,54.5982990265,1.0,10.553328892285714,0.05726627198023469,17.974034714571427,0.25434149532805844
fine_ln2_32_t12,0.00015278702493,8.14061032933585e-06,2.508101355514638e-05,4.95077763436e-05,5.72731291442131e-07,2.4646096707378042,3.4645382472680524,2.4645382472680524,0.9505035354617527,3.4646096707378042,0,0.0,54.5979976654,1.0,9.742217494428571,0.05501197251479482,16.201130347714287,1.1912750292530443
fine_ln2_64_t12,0.000452261777639,2.4474234716140644e-05,7.537378724848573e-05,4.95077763436e-05,1.661709874462859e-06,1.9681451324905364,2.9680737090207843,1.9680737090207843,0.9505035354617527,2.9681451324905366,0,0.0,54.5986022949,1.0,9.350606654571427,0.06791435943271036,15.009282528714285,1.0270535555269054
