method,scope,samples,repeats,calls,total_ns,ns_per_call
libm,kernel,4096,1500,6144000,50588125,8.233744303
libm,kernel,4096,1500,6144000,50098275,8.154016113
libm,kernel,4096,1500,6144000,51127877,8.321594564
libm,kernel,4096,1500,6144000,50873740,8.280231120
libm,kernel,4096,1500,6144000,49898069,8.121430501
libm,kernel,4096,1500,6144000,50023605,8.141862793
libm,kernel,4096,1500,6144000,49972580,8.133557943
direct_t12_trunc,kernel,4096,1500,6144000,153028154,24.906926107
direct_t12_trunc,kernel,4096,1500,6144000,153210075,24.936535645
direct_t12_trunc,kernel,4096,1500,6144000,152043235,24.746620280
direct_t12_trunc,kernel,4096,1500,6144000,151944770,24.730594076
direct_t12_trunc,kernel,4096,1500,6144000,152538445,24.827220866
direct_t12_trunc,kernel,4096,1500,6144000,152920752,24.889445313
direct_t12_trunc,kernel,4096,1500,6144000,152783193,24.867056152
direct_t12_rne,kernel,4096,1500,6144000,168731216,27.462763021
direct_t12_rne,kernel,4096,1500,6144000,166586913,27.113755371
direct_t12_rne,kernel,4096,1500,6144000,167372056,27.241545573
direct_t12_rne,kernel,4096,1500,6144000,169089208,27.521029948
direct_t12_rne,kernel,4096,1500,6144000,168428849,27.413549642
direct_t12_rne,kernel,4096,1500,6144000,166335381,27.072815918
direct_t12_rne,kernel,4096,1500,6144000,166104808,27.035287760
direct_t16_rne,kernel,4096,1500,6144000,241811159,39.357284993
direct_t16_rne,kernel,4096,1500,6144000,242347676,39.444608724
direct_t16_rne,kernel,4096,1500,6144000,240423195,39.131379395
direct_t16_rne,kernel,4096,1500,6144000,240338537,39.117600423
direct_t16_rne,kernel,4096,1500,6144000,241920144,39.375023437
direct_t16_rne,kernel,4096,1500,6144000,243790914,39.679510742
direct_t16_rne,kernel,4096,1500,6144000,241255177,39.266793132
direct_t20_rne,kernel,4096,1500,6144000,301369023,49.050947754
direct_t20_rne,kernel,4096,1500,6144000,303465446,49.392162435
direct_t20_rne,kernel,4096,1500,6144000,300519208,48.912631510
direct_t20_rne,kernel,4096,1500,6144000,303136689,49.338653809
direct_t20_rne,kernel,4096,1500,6144000,302399817,49.218720215
direct_t20_rne,kernel,4096,1500,6144000,302699368,49.267475260
direct_t20_rne,kernel,4096,1500,6144000,301079590,49.003839518
adaptive_rne,kernel,4096,1500,6144000,404963668,65.912055339
adaptive_rne,kernel,4096,1500,6144000,401901643,65.413678874
adaptive_rne,kernel,4096,1500,6144000,401846380,65.404684245
adaptive_rne,kernel,4096,1500,6144000,401948301,65.421272949
adaptive_rne,kernel,4096,1500,6144000,400979403,65.263574707
adaptive_rne,kernel,4096,1500,6144000,401096703,65.282666504
adaptive_rne,kernel,4096,1500,6144000,403291540,65.639899089
divfirst_t12_rne,kernel,4096,1500,6144000,174892425,28.465563965
divfirst_t12_rne,kernel,4096,1500,6144000,173923087,28.307794108
divfirst_t12_rne,kernel,4096,1500,6144000,173771102,28.283056966
divfirst_t12_rne,kernel,4096,1500,6144000,173647349,28.262914876
divfirst_t12_rne,kernel,4096,1500,6144000,173520321,28.242239746
divfirst_t12_rne,kernel,4096,1500,6144000,173478944,28.235505208
divfirst_t12_rne,kernel,4096,1500,6144000,175983202,28.643099284
rr_ln2_t12,kernel,4096,1500,6144000,106192750,17.283976237
rr_ln2_t12,kernel,4096,1500,6144000,106314479,17.303788900
rr_ln2_t12,kernel,4096,1500,6144000,107451652,17.488875651
rr_ln2_t12,kernel,4096,1500,6144000,107181215,17.444859212
rr_ln2_t12,kernel,4096,1500,6144000,107012077,17.417330241
