method,scope,ns_per_call_mean,ns_per_call_std
adaptive_rne,e2e,74.80181105828571,0.16363600211789422
adaptive_rne,kernel,65.476833101,0.2278411607511175
direct_t12_rne,e2e,36.989324544285715,0.44859360363528183
direct_t12_rne,kernel,27.26582103328571,0.19993803487743808
direct_t12_trunc,e2e,35.129496745,0.2584110562957245
direct_t12_trunc,kernel,24.843485491285715,0.07931246531420272
direct_t16_rne,e2e,50.59461542028571,0.38902284781028473
direct_t16_rne,kernel,39.338885835142854,0.1941093445509574
direct_t20_rne,e2e,60.07534479628571,0.9404881699730689
direct_t20_rne,kernel,49.169204357285714,0.18151776398227462
divfirst_t12_rne,e2e,38.59056349985714,0.03174372325007773
divfirst_t12_rne,kernel,28.348596307571427,0.15155652603390887
fine_ln2_16_t12,e2e,17.974034714571427,0.25434149532805844
fine_ln2_16_t12,kernel,10.553328892285714,0.05726627198023469
fine_ln2_2_t12,e2e,22.522910877142856,0.07619310799341862
fine_ln2_2_t12,kernel,14.629347679571428,0.05668640357979572
fine_ln2_32_t12,e2e,16.201130347714287,1.1912750292530443
fine_ln2_32_t12,kernel,9.742217494428571,0.05501197251479482
fine_ln2_4_t12,e2e,19.875594935714286,0.05168340279873315
fine_ln2_4_t12,kernel,13.067290201857144,0.10788170556858312
fine_ln2_64_t12,e2e,15.009282528714285,1.0270535555269054
fine_ln2_64_t12,kernel,9.350606654571427,0.06791435943271036
fine_ln2_8_t12,e2e,18.611653762142858,0.16864706874537333
fine_ln2_8_t12,kernel,11.423083240428571,0.059834552247256936
halving_adaptive,e2e,37.35217882728572,0.1310347212295334
halving_adaptive,kernel,27.87983293785714,0.09346042837262435
halving_t12,e2e,37.790158784285715,0.05800654920741274
halving_t12,kernel,28.774738792714288,0.17632974213841815
libm,e2e,8.502886160857143,0.22614158130952375
libm,kernel,8.198062476714286,0.08001753602937427
rr_ln2_adaptive,e2e,24.771758440428574,0.05131606037797654
rr_ln2_adaptive,kernel,16.445337402285713,0.06866679624597406
rr_ln2_t12,e2e,26.03052597185714,0.026642561479339227
rr_ln2_t12,kernel,17.31465232057143,0.15869908500727137
